Model,C,Class_Weight,Accuracy,Precision,Recall,F1_Score
Custom_Weight_1.50,1.0,"{'informative': 1.0, 'not_informative': 1.5}",0.816002490660025,0.8102089957253019,0.816002490660025,0.8116587174199927
Custom_Weight_1.25,1.0,"{'informative': 1.0, 'not_informative': 1.25}",0.8197384806973848,0.8127971180381768,0.8197384806973848,0.8116111735170596
Custom_Weight_1.75,1.0,"{'informative': 1.0, 'not_informative': 1.75}",0.8128891656288917,0.8088650978553974,0.8128891656288917,0.8103730097157431
Balanced_C_3.0,3.0,balanced,0.8085305105853051,0.8115967099557334,0.8085305105853051,0.8098926169766358
Balanced_C_2.0,2.0,balanced,0.8069738480697385,0.8116410540631727,0.8069738480697385,0.8089434254035485
Custom_Weight_1.10,1.0,"{'informative': 1.0, 'not_informative': 1.1}",0.8191158156911582,0.8126996659600687,0.8191158156911582,0.8082408109679083
Balanced_C_1.5,1.5,balanced,0.8038605230386052,0.8103509657186869,0.8038605230386052,0.8064670591568748
Balanced_C_5.0,5.0,balanced,0.8054171855541719,0.806817035506955,0.8054171855541719,0.8060797705492502
Balanced_C_1.0,1.0,balanced,0.7991905354919053,0.8082876660411173,0.7991905354919053,0.8026297414696903
Balanced_C_0.75,0.75,balanced,0.7963885429638854,0.8072972461142981,0.7963885429638854,0.8003596102914187
Balanced_C_0.5,0.5,balanced,0.7957658779576587,0.8087786143228884,0.7957658779576587,0.8002839885482944
